Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /6.67,Q. 2 /6.67,Q. 3 /6.67,Q. 4 /6.67,Q. 5 /6.67,Q. 6 /6.67,Q. 7 /6.67,Q. 8 /6.67,Q. 9 /6.67,Q. 10 /6.67,Q. 11 /6.67,Q. 12 /6.67,Q. 13 /6.67,Q. 14 /6.67,Q. 15 /6.67
576,Finished,13 November 2021  9:13 AM,13 November 2021  9:56 AM,43 mins 23 secs,35.33,-1.67,6.67,-1.67,6.67,6.67,-1.67,6.67,6.67,-1.67,-1.33,6.67,-1.67,-1.67,0.00,6.67
577,Finished,13 November 2021  9:41 AM,13 November 2021  10:26 AM,45 mins,60.33,-1.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,-1.67,-1.33,6.67,-1.67,6.67,0.00,6.67
578,Finished,13 November 2021  11:07 AM,13 November 2021  11:38 AM,30 mins 15 secs,35.0,6.67,-1.67,-1.67,-1.67,6.67,-1.67,-1.67,6.67,6.67,6.67,-1.67,6.67,-1.67,0.00,6.67
579,Finished,13 November 2021  11:40 AM,13 November 2021  11:49 AM,9 mins 45 secs,28.67,-1.67,6.67,-1.67,-1.67,6.67,-1.67,6.67,6.67,-1.67,-1.33,6.67,6.67,-1.67,0.00,0.00
580,Finished,13 November 2021  1:39 PM,13 November 2021  2:26 PM,46 mins 10 secs,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
132,Finished,13 November 2021  1:44 PM,13 November 2021  2:29 PM,45 mins,67.0,6.67,-1.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,-1.33,6.67,-1.67,-1.67,6.67,6.67
581,Finished,13 November 2021  1:44 PM,13 November 2021  2:31 PM,46 mins 27 secs,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
582,Finished,13 November 2021  1:55 PM,13 November 2021  2:40 PM,44 mins 59 secs,36.67,6.67,-1.67,-1.67,6.67,6.67,-1.67,6.67,6.67,-1.67,6.67,6.67,-1.67,-1.67,0.00,0.00
