Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /12.50,Q. 2 /12.50,Q. 3 /12.50,Q. 4 /12.50,Q. 5 /12.50,Q. 6 /12.50,Q. 7 /12.50,Q. 8 /12.50
38,Finished,11 November 2020  12:13 PM,11 November 2020  12:42 PM,28 mins 43 secs,44.79,0.00,-3.13,4.17,12.50,6.25,12.50,12.50,0.00
39,Finished,11 November 2020  12:13 PM,11 November 2020  12:25 PM,12 mins 4 secs,38.54,0.00,12.50,4.17,12.50,0.00,12.50,-3.13,0.00
40,Finished,11 November 2020  12:13 PM,11 November 2020  12:39 PM,26 mins 6 secs,47.92,3.13,-3.13,4.17,12.50,6.25,12.50,12.50,0.00
41,Finished,11 November 2020  12:13 PM,11 November 2020  12:30 PM,16 mins 26 secs,41.67,3.13,12.50,4.17,12.50,0.00,12.50,-3.13,0.00
42,Finished,11 November 2020  12:14 PM,11 November 2020  12:40 PM,26 mins 34 secs,18.75,0.00,-3.13,0.00,0.00,12.50,12.50,-3.13,0.00
43,Finished,11 November 2020  12:14 PM,11 November 2020  12:26 PM,11 mins 32 secs,51.04,12.50,12.50,4.17,12.50,0.00,-3.13,12.50,0.00
44,Finished,11 November 2020  12:15 PM,11 November 2020  12:47 PM,31 mins 53 secs,-2.08,3.13,-3.13,4.17,0.00,0.00,-3.13,-3.13,0.00
45,Finished,11 November 2020  12:15 PM,11 November 2020  12:31 PM,16 mins 23 secs,56.25,12.50,-3.13,12.50,12.50,12.50,12.50,-3.13,0.00
46,Finished,11 November 2020  12:15 PM,11 November 2020  12:42 PM,26 mins 29 secs,53.13,0.00,12.50,6.25,12.50,0.00,12.50,-3.13,12.50
35,Finished,11 November 2020  12:15 PM,11 November 2020  12:18 PM,3 mins 7 secs,50.0,0.00,12.50,0.00,12.50,0.00,12.50,12.50,0.00
47,Finished,11 November 2020  12:16 PM,11 November 2020  12:40 PM,24 mins 21 secs,34.38,6.25,12.50,0.00,0.00,6.25,12.50,-3.13,0.00
48,Finished,11 November 2020  12:16 PM,11 November 2020  12:29 PM,13 mins 3 secs,50.0,6.25,-3.13,12.50,12.50,12.50,12.50,-3.13,0.00
49,Finished,11 November 2020  12:16 PM,11 November 2020  12:25 PM,9 mins 33 secs,58.33,3.13,12.50,5.21,12.50,0.00,12.50,12.50,0.00
50,Finished,11 November 2020  12:16 PM,11 November 2020  12:43 PM,27 mins 11 secs,37.5,0.00,-3.13,12.50,12.50,6.25,12.50,-3.13,0.00
51,Finished,11 November 2020  12:17 PM,11 November 2020  12:24 PM,7 mins 20 secs,-3.13,3.13,-,0.00,0.00,-,-3.13,-3.13,0.00
52,Finished,11 November 2020  12:17 PM,11 November 2020  12:49 PM,31 mins 20 secs,25.0,-,-,0.00,-,12.50,12.50,-,-
53,Finished,11 November 2020  12:17 PM,11 November 2020  12:37 PM,19 mins 15 secs,40.63,12.50,-3.13,6.25,9.38,6.25,12.50,-3.13,0.00
54,Finished,11 November 2020  12:18 PM,11 November 2020  12:41 PM,23 mins 30 secs,75.0,12.50,12.50,12.50,12.50,0.00,12.50,12.50,0.00
55,Finished,11 November 2020  12:18 PM,11 November 2020  12:46 PM,28 mins 2 secs,65.63,3.13,12.50,12.50,12.50,0.00,12.50,12.50,0.00
1,Finished,11 November 2020  12:18 PM,11 November 2020  12:50 PM,31 mins 21 secs,0.0,-,-,-,-,-,-,-,-
56,Finished,11 November 2020  12:19 PM,11 November 2020  12:46 PM,26 mins 33 secs,66.67,6.25,12.50,4.17,12.50,6.25,12.50,12.50,0.00
57,Finished,11 November 2020  12:20 PM,11 November 2020  12:39 PM,19 mins 9 secs,59.38,0.00,-3.13,12.50,12.50,12.50,12.50,12.50,0.00
58,Finished,11 November 2020  12:20 PM,11 November 2020  12:50 PM,30 mins 1 sec,13.54,-,-3.13,4.17,0.00,0.00,12.50,-,0.00
59,Finished,11 November 2020  12:20 PM,11 November 2020  12:38 PM,17 mins 50 secs,71.88,0.00,12.50,9.37,12.50,12.50,12.50,12.50,0.00
60,Finished,11 November 2020  12:21 PM,11 November 2020  12:43 PM,22 mins 27 secs,57.29,12.50,-3.13,4.17,12.50,6.25,12.50,12.50,0.00
61,Finished,11 November 2020  12:22 PM,11 November 2020  12:37 PM,15 mins 3 secs,44.79,0.00,-3.13,4.17,12.50,6.25,12.50,12.50,0.00
62,Finished,11 November 2020  12:22 PM,11 November 2020  12:35 PM,13 mins,75.0,6.25,12.50,6.25,12.50,12.50,12.50,12.50,0.00
63,Finished,11 November 2020  12:23 PM,11 November 2020  12:37 PM,14 mins 13 secs,10.42,3.13,-3.13,4.17,12.50,0.00,-3.13,-3.13,0.00
11,Finished,11 November 2020  12:24 PM,11 November 2020  12:35 PM,10 mins 55 secs,59.38,0.00,-3.13,12.50,12.50,12.50,12.50,12.50,0.00
64,Finished,11 November 2020  12:25 PM,11 November 2020  12:57 PM,31 mins 49 secs,0.0,-,-,-,-,-,-,-,-
51,Finished,11 November 2020  12:25 PM,11 November 2020  12:38 PM,12 mins 28 secs,6.25,0.00,-3.13,0.00,0.00,0.00,-3.13,12.50,0.00
65,Finished,11 November 2020  12:26 PM,11 November 2020  12:50 PM,23 mins 55 secs,53.13,0.00,-3.13,12.50,12.50,6.25,12.50,12.50,0.00
49,Finished,11 November 2020  12:26 PM,11 November 2020  12:36 PM,9 mins 51 secs,56.25,0.00,12.50,6.25,12.50,0.00,12.50,12.50,0.00
14,Finished,11 November 2020  12:26 PM,11 November 2020  12:35 PM,8 mins 55 secs,64.58,12.50,-3.13,5.21,12.50,12.50,12.50,12.50,0.00
66,Finished,11 November 2020  12:26 PM,11 November 2020  12:41 PM,14 mins 55 secs,65.63,12.50,-3.13,12.50,12.50,6.25,12.50,12.50,0.00
22,Finished,11 November 2020  12:26 PM,11 November 2020  12:44 PM,17 mins 15 secs,56.25,12.50,-3.13,12.50,12.50,12.50,12.50,-3.13,0.00
67,Finished,11 November 2020  12:27 PM,11 November 2020  12:40 PM,13 mins 4 secs,64.58,12.50,-3.13,5.21,12.50,12.50,12.50,12.50,0.00
68,Finished,11 November 2020  12:27 PM,11 November 2020  12:38 PM,10 mins 47 secs,71.88,12.50,12.50,12.50,12.50,12.50,12.50,-3.13,0.00
43,Finished,11 November 2020  12:27 PM,11 November 2020  12:32 PM,5 mins 7 secs,68.75,6.25,12.50,12.50,12.50,0.00,12.50,12.50,0.00
69,Finished,11 November 2020  12:28 PM,11 November 2020  12:43 PM,14 mins 8 secs,59.38,0.00,12.50,12.50,12.50,12.50,12.50,-3.13,0.00
35,Finished,11 November 2020  12:29 PM,11 November 2020  12:42 PM,12 mins 45 secs,50.0,9.38,-3.13,6.25,12.50,0.00,12.50,12.50,0.00
